                 Time	               V(DAC)	               V(VIN)
                    0	   0.0910582169890404	                    2
               4e-007	   0.0910582169890404	     2.00251317024231
               8e-007	   0.0910582169890404	      2.0050265789032
 1.6000373840332e-006	   0.0910582169890404	      2.0100531578064
3.20011215209961e-006	   0.0910582169890404	     2.02010560035706
6.40026168823242e-006	   0.0910582169890404	     2.04020309448242
 1.2800560760498e-005	   0.0910582169890404	     2.08034157752991
         2.00095e-005	   0.0910582169890404	      2.1253924369812
2.00100000000097e-005	   0.0937507972121239	     2.12539553642273
2.00110000541903e-005	    0.104719586670399	     2.12540173530579
2.00121347776152e-005	    0.130924865603447	     2.12540888786316
         2.00122e-005	    0.133002817630768	     2.12540936470032
         2.00123e-005	    0.136397898197174	     2.12540984153748
         2.00131e-005	    0.171016559004784	     2.12541484832764
         2.00132e-005	    0.176330119371414	     2.12541556358337
         2.00137e-005	    0.205221563577652	      2.1254186630249
         2.00138e-005	    0.211439341306686	     2.12541913986206
2.00147107403457e-005	    0.269552946090698	     2.12542486190796
2.00158491890609e-005	    0.300965636968613	     2.12543201446533
2.00169662173569e-005	    0.302866071462631	     2.12543892860413
2.00182764019549e-005	    0.303023993968964	     2.12544727325439
2.00201569284976e-005	    0.302594900131226	     2.12545895576477
2.00225068416178e-005	    0.302629441022873	      2.1254734992981
2.00268959786475e-005	    0.302743315696716	     2.12550091743469
2.00345551755011e-005	    0.302664875984192	     2.12554860115051
2.00474938537657e-005	    0.302694231271744	     2.12562918663025
 2.0073371210295e-005	    0.302699625492096	      2.1257905960083
2.01251259233534e-005	     0.30269867181778	     2.12611317634583
2.02286353494704e-005	    0.302699148654938	     2.12675833702087
2.04356542017043e-005	    0.302699148654938	     2.12804841995239
 2.0849691906172e-005	    0.302699148654938	     2.13062810897827
2.16777673151076e-005	    0.302699148654938	     2.13578462600708
2.33339181329787e-005	    0.302699148654938	     2.14608669281006
2.66462197687209e-005	    0.302699148654938	     2.16664218902588
3.32708230402052e-005	    0.302699148654938	     2.20752739906311
         4.00095e-005	    0.302699148654938	     2.24874758720398
4.00100000000097e-005	    0.308095216751099	     2.24875068664551
4.00110000541903e-005	    0.330077946186066	     2.24875688552856
4.00121336600281e-005	    0.382519841194153	     2.24876379966736
         4.00122e-005	    0.386744171380997	     2.24876403808594
         4.00123e-005	    0.393551200628281	     2.24876475334167
         4.00131e-005	     0.46283945441246	     2.24876952171326
         4.00132e-005	    0.473457515239716	     2.24877023696899
         4.00135e-005	    0.507352471351624	     2.24877214431763
         4.00137e-005	    0.524010241031647	     2.24877333641052
         4.00138e-005	    0.530363917350769	     2.24877381324768
4.00141947410733e-005	    0.545612514019012	     2.24877619743347
         4.00145e-005	    0.551397979259491	      2.2487781047821
         4.00146e-005	    0.552792072296143	     2.24877882003784
         4.00149e-005	    0.558710515499115	      2.2487804889679
          4.0015e-005	    0.561258614063263	     2.24878120422363
         4.00151e-005	    0.561772167682648	     2.24878168106079
         4.00153e-005	     0.55768221616745	     2.24878311157227
         4.00154e-005	    0.553668200969696	     2.24878358840942
         4.00155e-005	    0.549459397792816	     2.24878430366516
4.00159812143743e-005	    0.533816277980804	     2.24878716468811
4.00163558854461e-005	    0.525409698486328	     2.24878931045532
4.00167076459825e-005	    0.519456207752228	     2.24879145622253
 4.0017301084727e-005	    0.515593111515045	      2.2487952709198
4.00176948479116e-005	    0.514353632926941	     2.24879765510559
 4.0017968843013e-005	    0.514309942722321	     2.24879932403564
4.00183120819479e-005	    0.514324426651001	     2.24880123138428
4.00187283831388e-005	    0.514324307441711	     2.24880385398865
4.00194151404053e-005	    0.514325618743896	     2.24880814552307
4.00204487221986e-005	    0.514335691928864	     2.24881434440613
4.00224749075919e-005	    0.514338612556458	     2.24882674217224
4.00243967848569e-005	    0.514330148696899	     2.24883842468262
4.00282405393869e-005	    0.514331519603729	     2.24886178970337
4.00359280484468e-005	    0.514339327812195	     2.24890851974487
4.00474332350045e-005	    0.514338493347168	     2.24897861480713
4.00704436081201e-005	    0.514338493347168	     2.24911856651306
4.01164643543512e-005	    0.514338195323944	     2.24939870834351
4.02085058468133e-005	    0.514338195323944	     2.24995851516724
4.03925888317376e-005	    0.514338195323944	     2.25107836723328
4.07607548015863e-005	    0.514338195323944	     2.25331687927246
4.14970867412835e-005	    0.514338195323944	     2.25778961181641
4.29697506206781e-005	    0.514338254928589	     2.26671886444092
4.59150783794671e-005	    0.514338195323944	     2.28450775146484
5.18057338970453e-005	    0.514338195323944	     2.31978726387024
         6.00095e-005	    0.514338195323944	      2.3681800365448
6.00100000000097e-005	    0.517038702964783	     2.36818289756775
6.00110000541903e-005	    0.528045356273651	     2.36818885803223
6.00121338462926e-005	    0.554310381412506	     2.36819553375244
         6.00122e-005	    0.556423425674438	     2.36819577217102
         6.00123e-005	    0.559839248657227	     2.36819648742676
          6.0013e-005	    0.589510917663574	      2.3682005405426
         6.00131e-005	     0.59462034702301	     2.36820101737976
         6.00132e-005	    0.599920094013214	      2.3682017326355
         6.00137e-005	    0.628887236118317	     2.36820459365845
         6.00138e-005	     0.63512521982193	     2.36820507049561
6.00148823830962e-005	    0.703857779502869	     2.36821150779724
6.00160949650884e-005	    0.727690398693085	     2.36821866035461
6.00172218654037e-005	    0.725897789001465	     2.36822509765625
6.00183735388994e-005	     0.72648549079895	     2.36823177337646
6.00196270990849e-005	    0.726736068725586	     2.36823916435242
6.00221342194557e-005	    0.726730942726135	     2.36825394630432
6.00271484601975e-005	    0.726696848869324	     2.36828303337097
6.00371769416809e-005	    0.726700663566589	     2.36834168434143
