                 Time	                V(D0)	                V(D1)	                V(D3)	              V(VOUT)	                V(D2)
                    0	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
             6.4e-006	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
            1.28e-005	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
2.56005981445313e-005	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
5.12017944335938e-005	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
 0.000102404187011719	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
 0.000204808972167969	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
 0.000409618542480469	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
 0.000819237683105469	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
                0.001	  0.00249873381108046	  0.00249871704727411	  0.00249861623160541	  -0.0111827766522765	  0.00249868328683078
  0.00100000007142857	   0.0217569824308157	  0.00249872962012887	  0.00249866652302444	  -0.0111824944615364	  0.00249870866537094
  0.00100000021429345	     1.24596416950226	  0.00249953265301883	    0.002501878188923	  -0.0111493188887835	  0.00250031449832022
  0.00100000039764758	     4.93808603286743	  0.00250195991247892	  0.00251158722676337	  -0.0109587991610169	  0.00250516901724041
  0.00100000051590227	     4.99783086776733	  0.00250200065784156	  0.00251174997538328	  -0.0108329448848963	  0.00250525050796568
  0.00100000061346995	       4.997483253479	  0.00250200042501092	  0.00251174904406071	  -0.0107485307380557	   0.0025052500423044
  0.00100000080187651	     4.99745988845825	  0.00250200065784156	  0.00251175020821393	  -0.0106393033638597	  0.00250525050796568
  0.00100000117868962	       4.997483253479	  0.00250200089067221	   0.0025117511395365	  -0.0105541385710239	  0.00250525097362697
  0.00100000193231585	     4.99747180938721	  0.00250200089067221	  0.00251175137236714	  -0.0105259967967868	  0.00250525120645761
   0.0010000034395683	     4.99747180938721	  0.00250200065784156	  0.00251175067387521	  -0.0106046674773097	  0.00250525074079633
  0.00100000645407321	     4.99747180938721	  0.00250200019218028	  0.00251174857839942	  -0.0108011122792959	  0.00250524980947375
  0.00100001248308303	     4.99747180938721	  0.00250199832953513	  0.00251174066215754	  -0.0115469358861446	  0.00250524585135281
  0.00100002454110267	     4.99747180938721	  0.00250199134461582	  0.00251171295531094	   -0.014170995913446	  0.00250523188151419
  0.00100004865714194	     4.99747180938721	   0.0025019699241966	  0.00251162773929536	  -0.0222753081470728	   0.0025051892735064
  0.00100008469411018	     4.99747180938721	  0.00250192871317267	  0.00251146219670773	  -0.0380130261182785	  0.00250510661862791
   0.0010001295406449	     4.99747180938721	  0.00250187166966498	  0.00251123402267694	  -0.0597007945179939	  0.00250499253161252
  0.00100019052811744	     4.99747133255005	  0.00250179204158485	  0.00251091551035643	  -0.0899824798107147	  0.00250483327545226
  0.00100028291531684	     4.99747133255005	  0.00250167096965015	  0.00251043122261763	   -0.136017248034477	  0.00250459113158286
  0.00100046644993903	     4.99747133255005	  0.00250143045559525	  0.00250946916639805	   -0.227448552846909	  0.00250411010347307
  0.00100083351918342	     4.99747133255005	  0.00250095059163868	  0.00250755017623305	   -0.409862458705902	  0.00250315037555993
  0.00100156765767219	     4.99747085571289	  0.00250002997927368	  0.00250386795960367	   -0.759912014007568	  0.00250130938366055
  0.00100303593464973	     4.99746990203857	  0.00249892589636147	   0.0024994513951242	    -1.18035686016083	   0.0024991009850055
   0.0010038149911988	     4.99746990203857	  0.00249874778091908	  0.00249873916618526	    -1.24820411205292	  0.00249874498695135
  0.00100454769917609	     4.99746990203857	  0.00249870284460485	  0.00249855918809772	    -1.26534593105316	  0.00249865488149226
  0.00100492468663337	     4.99746990203857	  0.00249870261177421	  0.00249855848960578	    -1.26542794704437	  0.00249865441583097
  0.00100542546101691	     4.99746990203857	  0.00249870703555644	  0.00249857595190406	    -1.26376092433929	  0.00249866326339543
  0.00100596276112678	     4.99746990203857	  0.00249871239066124	  0.00249859783798456	    -1.26166176795959	  0.00249867420643568
   0.0010070373613465	     4.99746990203857	  0.00249871634878218	  0.00249861390329897	    -1.26013720035553	  0.00249868235550821
  0.00100828686543586	     4.99746990203857	  0.00249871704727411	  0.00249861646443605	     -1.2598865032196	  0.00249868351966143
   0.0010100200731385	     4.99746990203857	  0.00249871728010476	  0.00249861716292799	    -1.25982308387756	  0.00249868398532271
  0.00101298332997443	     4.99746990203857	  0.00249871704727411	   0.0024986166972667	    -1.25988042354584	  0.00249868351966143
  0.00101890984364631	     4.99746990203857	  0.00249871704727411	   0.0024986166972667	    -1.25987613201141	  0.00249868375249207
  0.00103076287099006	     4.99746990203857	  0.00249871728010476	  0.00249861693009734	    -1.25985777378082	  0.00249868375249207
  0.00105446892567756	     4.99746990203857	  0.00249871704727411	   0.0024986166972667	     -1.2598729133606	  0.00249868375249207
  0.00110188103505256	     4.99746990203857	  0.00249871704727411	   0.0024986166972667	    -1.25986623764038	  0.00249868375249207
  0.00119670525380256	     4.99746990203857	  0.00249871704727411	   0.0024986166972667	    -1.25986540317535	  0.00249868375249207
  0.00138635369130256	     4.99746990203857	  0.00249871704727411	   0.0024986166972667	    -1.25986623764038	  0.00249868375249207
