                 Time	               V(VIN)	              V(VOUT)
                    0	                    5	                127.5
               4e-009	     5.01256656646728	                127.5
               8e-009	     5.02513265609741	                127.5
1.60004334449768e-008	     5.05026578903198	                127.5
3.20013003349304e-008	     5.10052824020386	                127.5
6.40030341148376e-008	     5.20101737976074	                127.5
1.28006501674652e-007	     5.40171098709106	                127.5
2.56013436794281e-007	     5.80082607269287	                127.5
5.12027307033539e-007	      6.5809760093689	                127.5
9.12045999050141e-007	     7.71100950241089	                127.5
               1e-006	     7.93892621994019	                127.5
1.00050000000965e-006	      7.9401969909668	     121.525001525879
1.00150005419027e-006	      7.9427375793457	     109.574356079102
1.00259603459608e-006	     7.94552040100098	     96.4773864746094
1.00322467733394e-006	     7.94711589813232	     88.9651031494141
1.00448196280968e-006	      7.9503059387207	      73.940544128418
1.00494543548893e-006	     7.95148134231567	     68.4020462036133
1.00587238084745e-006	     7.95383167266846	     57.3250465393066
1.00747891228866e-006	     7.95790195465088	     38.1269989013672
1.01069197517108e-006	     7.96603441238403	                    8
1.01711810093593e-006	     7.98226261138916	                    8
1.02997035246562e-006	       8.014573097229	                    8
1.05567485552501e-006	     8.07860279083252	                    8
1.10708386164378e-006	     8.20423603057861	                    8
1.20990187388133e-006	     8.44534587860107	                    8
1.41553789835643e-006	     8.88349723815918	                    8
1.81555659037303e-006	     9.54472732543945	                    8
               2e-006	     9.75528240203857	                    8
2.00050000000965e-006	     9.75576782226563	     8.10000038146973
2.00150005419027e-006	     9.75673675537109	     8.30001068115234
2.00350016255152e-006	     9.75866889953613	     8.70003223419189
  2.007500379274e-006	     9.76251125335693	     9.50007629394531
2.01550081271898e-006	     9.77010536193848	                   10
2.03150167960893e-006	     9.78493118286133	                   10
2.06350341338884e-006	     9.81313133239746	                   10
2.12750688094866e-006	     9.86368179321289	                   10
2.25551381606829e-006	     9.94112205505371	                   10
2.51152768630754e-006	     9.99986839294434	                   10
2.91154637832414e-006	     9.83376789093018	                   10
               3e-006	     9.75528240203857	                   10
3.00050000000965e-006	     9.75479698181152	                   10
3.00150005419027e-006	     9.75382423400879	                   10
3.00350016255152e-006	     9.75187301635742	                   10
  3.007500379274e-006	     9.74794864654541	                   10
3.01550081271898e-006	     9.74000930786133	                   10
3.03150167960893e-006	     9.72377109527588	                   10
3.06350341338884e-006	     9.68986511230469	                   10
3.12750688094866e-006	     9.61637783050537	                   10
3.25551381606829e-006	     9.44714164733887	                   10
3.51152768630754e-006	     9.02369213104248	                   10
3.91154637832415e-006	     8.15908718109131	                   10
               4e-006	     7.93892621994019	                   10
4.00050000000965e-006	     7.93765544891357	     9.89999961853027
4.00150005419027e-006	     7.93511247634888	     9.69998931884765
4.00350016255152e-006	     7.93002319335937	      9.2999677658081
  4.007500379274e-006	     7.91983079910278	     8.49992370605469
4.01550081271898e-006	     7.89939069747925	                    8
4.03150167960893e-006	      7.8582911491394	                    8
4.06350341338884e-006	     7.77522945404053	                    8
4.12750688094866e-006	     7.60577440261841	                    8
4.25551381606829e-006	     7.25450468063354	                    8
4.51152768630754e-006	     6.51060199737549	                    8
4.91154637832414e-006	     5.27774238586426	                    8
               5e-006	                    5	                    8
5.00050000000965e-006	     4.99842929840088	     7.84999990463257
5.00150005419027e-006	     4.99528741836548	     7.54998397827148
5.00350016255152e-006	     4.98900413513184	       6.949951171875
  5.007500379274e-006	     4.97643709182739	     5.74988603591919
5.01550081271898e-006	     4.95130348205566	                    5
5.03150167960894e-006	     4.90104103088379	                    5
5.06350341338884e-006	     4.80055093765259	                    5
5.12750688094866e-006	       4.599853515625	                    5
5.25551381606829e-006	     4.20072364807129	                    5
5.51152768630754e-006	     3.42051315307617	                    5
5.91154637832415e-006	     2.29030966758728	                    5
               6e-006	     2.06107378005981	                    5
6.00050000000965e-006	      2.0598030090332	     4.84999990463257
6.00150005419027e-006	      2.0572624206543	     4.54998397827148
6.00350016255152e-006	     2.05218482017517	       3.949951171875
  6.007500379274e-006	     2.04204344749451	     2.74988627433777
6.01550081271898e-006	     2.02181696891785	                    2
6.03150167960894e-006	     1.98158991336823	                    2
6.06350341338884e-006	     1.90205526351929	                    2
6.12750688094866e-006	     1.74677515029907	                    2
6.25551381606829e-006	     1.45223867893219	                    2
6.51152768630754e-006	    0.933734476566315	                    2
6.91154637832415e-006	    0.337886661291122	                    2
               7e-006	    0.244717419147491	                    2
7.00050000000965e-006	    0.244232252240181	     1.89999997615814
7.00150005419027e-006	    0.243263274431229	     1.69998919963837
7.00350016255152e-006	    0.241330936551094	     1.29996752738953
  7.007500379274e-006	    0.237488836050034	    0.499924123287201
7.01550081271898e-006	    0.229894921183586	                    0
7.03150167960893e-006	    0.215068861842155	                    0
7.06350341338884e-006	    0.186869114637375	                    0
7.12750688094866e-006	    0.136317908763886	                    0
7.25551381606829e-006	   0.0588781535625458	                    0
7.51152768630754e-006	 0.000131154185510241	                    0
7.91154637832415e-006	    0.166232541203499	                    0
               8e-006	    0.244717419147491	                    0
8.00050000000965e-006	     0.24520306289196	                    0
8.00150005419027e-006	    0.246175795793533	                    0
8.00350016255152e-006	    0.248126894235611	                    0
  8.007500379274e-006	    0.252051591873169	                    0
8.01550081271898e-006	    0.259990990161896	                    0
8.03150167960893e-006	    0.276228874921799	                    0
8.06350341338884e-006	    0.310135334730148	                    0
8.12750688094866e-006	     0.38362193107605	                    0
8.25551381606829e-006	    0.552858173847198	                    0
8.51152768630754e-006	     0.97630774974823	                    0
8.91154637832414e-006	     1.84091329574585	                    0
               9e-006	     2.06107378005981	                    0
